Min_Levenshtein,Avg_BLOSUM62
4.0,34.404340434043405
5.0,27.67126712671267
7.0,35.20592059205921
4.0,27.228822882288227
5.0,32.66256625662566
4.0,27.981998199819984
7.0,35.36613661366137
6.0,26.943094309430943
9.0,34.227022702270226
4.0,30.25812581258126
4.0,27.77027702770277
7.0,38.66626662666267
4.0,30.48124812481248
8.0,36.08540854085408
7.0,37.73807380738074
6.0,35.16911691169117
7.0,33.177717771777175
5.0,32.887688768876885
7.0,34.17031703170317
5.0,31.223022302230223
6.0,37.915491549154915
5.0,30.72317231723172
5.0,32.08880888088809
8.0,41.08850885088509
4.0,29.83918391839184
5.0,32.106710671067106
9.0,38.495649564956494
5.0,36.66996699669967
7.0,36.24582458245825
7.0,36.05190519051905
7.0,36.50975097509751
4.0,33.032003200320034
8.0,39.999599959996
7.0,35.15381538153815
6.0,33.3966396639664
5.0,31.034803480348035
6.0,33.786878687868786
7.0,34.903990399039905
9.0,41.86578657865787
5.0,30.395639563956397
4.0,31.802780278027804
5.0,28.924292429242925
6.0,33.67846784678468
8.0,39.14631463146315
7.0,38.685568556855685
8.0,36.785578557855786
8.0,38.08550855085509
8.0,40.04620462046205
3.0,29.77837783778378
3.0,26.465946594659467
5.0,31.877087708770876
4.0,27.39323932393239
4.0,30.13131313131313
9.0,38.76647664766477
5.0,31.506550655065507
5.0,31.407740774077407
4.0,28.23812381238124
6.0,33.81308130813081
4.0,27.538453845384538
6.0,35.266926692669266
5.0,29.418441844184418
5.0,32.44194419441944
5.0,27.68896889688969
7.0,35.30843084308431
3.0,26.67066706670667
5.0,32.47304730473047
4.0,27.578757875787577
8.0,38.07620762076208
6.0,34.08110811081108
6.0,33.467046704670466
8.0,38.31333133313331
4.0,27.81158115811581
9.0,41.916091609160915
6.0,35.99119911991199
7.0,37.43884388438844
6.0,34.08910891089109
10.0,40.234023402340235
7.0,35.81318131813181
5.0,27.039103910391038
7.0,30.26852685268527
6.0,34.33453345334534
9.0,38.05140514051405
9.0,40.92379237923792
7.0,34.65796579657966
8.0,37.82768276827683
8.0,40.96499649964996
4.0,28.859585958595858
9.0,39.15721572157216
8.0,38.640564056405644
4.0,28.67066706670667
6.0,31.163716371637165
8.0,40.606560656065604
10.0,40.69096909690969
6.0,32.2015201520152
4.0,26.644064406440645
8.0,37.15391539153915
6.0,35.013601360136015
4.0,28.994899489948995
8.0,38.442844284428446
5.0,30.895189518951895
7.0,39.405640564056405
5.0,28.783178317831783
7.0,36.24582458245825
6.0,32.358135813581356
6.0,35.05210521052105
6.0,34.843984398439844
8.0,40.13991399139914
4.0,29.018201820182018
9.0,39.999099909990996
7.0,33.929392939293926
9.0,37.28682868286829
6.0,36.36733673367337
